:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n0" #{"n2"}, "n2" #{"n1"}, "n1" #{"n0"}}]
1	:ok	:generate	"0622043c-87b1-11ee-b1a8-acde48001122"
2	:ok	:generate	"062204fa-87b1-11ee-9fc5-acde48001122"
0	:ok	:generate	"06220432-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"062275f2-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"062285a6-87b1-11ee-b1a8-acde48001122"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"0622ddb2-87b1-11ee-9fc5-acde48001122"
2	:invoke	:generate	nil
1	:ok	:generate	"06230364-87b1-11ee-b1a8-acde48001122"
0	:ok	:generate	"062301a2-87b1-11ee-a316-acde48001122"
2	:ok	:generate	"06231b56-87b1-11ee-9fc5-acde48001122"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"06243a40-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"062439d2-87b1-11ee-b1a8-acde48001122"
2	:ok	:generate	"06243900-87b1-11ee-9fc5-acde48001122"
1	:invoke	:generate	nil
1	:ok	:generate	"06247884-87b1-11ee-b1a8-acde48001122"
2	:invoke	:generate	nil
2	:ok	:generate	"0624a94e-87b1-11ee-9fc5-acde48001122"
0	:invoke	:generate	nil
0	:ok	:generate	"0624fc64-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"0625400c-87b1-11ee-a316-acde48001122"
2	:invoke	:generate	nil
1	:ok	:generate	"062543f4-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
2	:ok	:generate	"062571a8-87b1-11ee-9fc5-acde48001122"
1	:invoke	:generate	nil
0	:ok	:generate	"0625833c-87b1-11ee-a316-acde48001122"
2	:invoke	:generate	nil
1	:ok	:generate	"0625b19a-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
2	:ok	:generate	"0625da44-87b1-11ee-9fc5-acde48001122"
0	:ok	:generate	"06260a96-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"06266446-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"06267de6-87b1-11ee-b1a8-acde48001122"
2	:ok	:generate	"06267df0-87b1-11ee-9fc5-acde48001122"
2	:invoke	:generate	nil
2	:ok	:generate	"0626bc0c-87b1-11ee-9fc5-acde48001122"
0	:invoke	:generate	nil
0	:ok	:generate	"0626f12c-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"0627432a-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"06276e68-87b1-11ee-b1a8-acde48001122"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"0627a108-87b1-11ee-9fc5-acde48001122"
0	:ok	:generate	"0627b0b2-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"062f5a60-87b1-11ee-a316-acde48001122"
2	:ok	:generate	"062f5aba-87b1-11ee-9fc5-acde48001122"
1	:ok	:generate	"062f59f2-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"062f9ade-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"062fc3a6-87b1-11ee-b1a8-acde48001122"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"06300636-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
2	:ok	:generate	"0630343a-87b1-11ee-9fc5-acde48001122"
1	:invoke	:generate	nil
0	:ok	:generate	"06306158-87b1-11ee-a316-acde48001122"
1	:ok	:generate	"06306842-87b1-11ee-b1a8-acde48001122"
1	:invoke	:generate	nil
1	:ok	:generate	"0630984e-87b1-11ee-b1a8-acde48001122"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"0630e1d2-87b1-11ee-9fc5-acde48001122"
1	:ok	:generate	"063100b8-87b1-11ee-b1a8-acde48001122"
1	:invoke	:generate	nil
0	:ok	:generate	"06310bf8-87b1-11ee-a316-acde48001122"
2	:invoke	:generate	nil
1	:ok	:generate	"06313128-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"06314f28-87b1-11ee-9fc5-acde48001122"
1	:ok	:generate	"063166a2-87b1-11ee-b1a8-acde48001122"
0	:ok	:generate	"0631672e-87b1-11ee-a316-acde48001122"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"0639192e-87b1-11ee-9fc5-acde48001122"
1	:ok	:generate	"06391938-87b1-11ee-b1a8-acde48001122"
0	:ok	:generate	"0639192e-87b1-11ee-a316-acde48001122"
0	:invoke	:generate	nil
0	:ok	:generate	"06394bb0-87b1-11ee-a316-acde48001122"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"0639748c-87b1-11ee-b1a8-acde48001122"
2	:ok	:generate	"0639982c-87b1-11ee-9fc5-acde48001122"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"0639e7fa-87b1-11ee-a316-acde48001122"
2	:invoke	:generate	nil
1	:ok	:generate	"063a09c4-87b1-11ee-b1a8-acde48001122"
0	:invoke	:generate	nil
2	:ok	:generate	"063a2ca6-87b1-11ee-9fc5-acde48001122"
1	:invoke	:generate	nil
